id,name,website,fax,industry,lead_provide_by,description,lead_source,lead_status,assign_to,assign_by,created_at,updated_at
831,"Coastal Clean Pressure Pros LLC",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:34.000000Z,2026-06-19T01:18:34.000000Z
832,"Unlimited Promotions Inc.",unlimitedpromotions.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:34.000000Z,2026-06-19T01:18:34.000000Z
833,"Boss Boss Radio",www.bossbossradio.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:35.000000Z,2026-06-19T01:18:35.000000Z
834,"Denny Kollmeyer Products",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:35.000000Z,2026-06-19T01:18:35.000000Z
835,"QBF Graphics",www.qbfgraphics.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:36.000000Z,2026-06-19T01:18:36.000000Z
836,"Creative Business Forms",cbf1.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:37.000000Z,2026-06-19T01:18:37.000000Z
837,"Blackjack Media Group",blackjackmg.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:37.000000Z,2026-06-19T01:18:37.000000Z
838,"Execu-Gifts Inc",execugifts.net,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:38.000000Z,2026-06-19T01:18:38.000000Z
839,"Inkterprise INC",https://inkterprise.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:38.000000Z,2026-06-19T01:18:38.000000Z
840,"Wholesale Printing",wsprintingusa.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:38.000000Z,2026-06-19T01:18:38.000000Z
841,"One Step Beyond Apparel",osbapparel.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:39.000000Z,2026-06-19T01:18:39.000000Z
842,"WG Marketing Firm",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:40.000000Z,2026-06-19T01:18:40.000000Z
843,"Avalon Specialties Inc",avalonspecialties.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:40.000000Z,2026-06-19T01:18:40.000000Z
844,"Czar Press Inc",czarpress.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:41.000000Z,2026-06-19T01:18:41.000000Z
845,"Revere Printing Inc",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:41.000000Z,2026-06-19T01:18:41.000000Z
846,"Screem Printing",screemprinting.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:42.000000Z,2026-06-19T01:18:42.000000Z
847,"Teddy Gramz",,,Graphics,53,Blacklisted,"click.com - Retention",new,,,2026-06-19T01:18:43.000000Z,2026-06-19T01:18:43.000000Z
848,"Acme Business Source",acmesource.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:43.000000Z,2026-06-19T01:18:43.000000Z
849,"Her Image Designz LLC",,,Graphics,53,Blacklisted,"click.com - Retention",new,,,2026-06-19T01:18:43.000000Z,2026-06-19T01:18:43.000000Z
850,"A Plus Signs",aplusignstx.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:44.000000Z,2026-06-19T01:18:44.000000Z
851,"Wrapcity Vinyl",swoodacc@aol.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:44.000000Z,2026-06-19T01:18:44.000000Z
852,"Stitch N Print",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:45.000000Z,2026-06-19T01:18:45.000000Z
853,"Fashion Victim Inc  Expert Screen Printing",fashionvictim.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:45.000000Z,2026-06-19T01:18:45.000000Z
854,"Photo Confections Inc.",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:46.000000Z,2026-06-19T01:18:46.000000Z
855,"Witch Meadow Campground",witchmeadowcampground.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:46.000000Z,2026-06-19T01:18:46.000000Z
856,TuskPrint,.,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:47.000000Z,2026-06-19T01:18:47.000000Z
857,"TMT Event Co",tmteventco.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:48.000000Z,2026-06-19T01:18:48.000000Z
858,"FitKit Wellness",fitkit.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:49.000000Z,2026-06-19T01:18:49.000000Z
859,"All Wrapped Up",allwrappeduppromos.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:49.000000Z,2026-06-19T01:18:49.000000Z
860,"Marquis Developments LLC",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:50.000000Z,2026-06-19T01:18:50.000000Z
861,"Tailored Promotions",tailoredpromos.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:50.000000Z,2026-06-19T01:18:50.000000Z
862,"The Awards Shop",theawardsshop.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:51.000000Z,2026-06-19T01:18:51.000000Z
863,"Select Imaging",selectimaging.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:51.000000Z,2026-06-19T01:18:51.000000Z
864,"Print Operations",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:52.000000Z,2026-06-19T01:18:52.000000Z
865,"Ascend Marketing Inc",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:52.000000Z,2026-06-19T01:18:52.000000Z
866,"The Visual Edge Signs",,,Graphics,53,Blacklisted,"click.com - Retention",new,,,2026-06-19T01:18:53.000000Z,2026-06-19T01:18:53.000000Z
867,"Rose Country Promotions",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:53.000000Z,2026-06-19T01:18:53.000000Z
868,"Neon Lighting & Electric Signs",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:53.000000Z,2026-06-19T01:18:53.000000Z
869,"Andy S Atomic Graphics",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:54.000000Z,2026-06-19T01:18:54.000000Z
870,"T Shirt Time",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:54.000000Z,2026-06-19T01:18:54.000000Z
871,"Realty Sign Service",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:55.000000Z,2026-06-19T01:18:55.000000Z
872,Printing4Him,,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:55.000000Z,2026-06-19T01:18:55.000000Z
873,"Callahan Signs",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:56.000000Z,2026-06-19T01:18:56.000000Z
874,"Quaglia Brothers LLC",,,Graphics,53,Blacklisted,"click.com - Retention",new,,,2026-06-19T01:18:56.000000Z,2026-06-19T01:18:56.000000Z
875,"Georgetown Sign Company",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:56.000000Z,2026-06-19T01:18:56.000000Z
876,"Custom Merchandise Solutions",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:57.000000Z,2026-06-19T01:18:57.000000Z
877,"24hour Digitizing",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:58.000000Z,2026-06-19T01:18:58.000000Z
878,"B&B Digital Print",www.bbdigitalprint.com,,Graphics,53,Blacklisted,"click.com - Retention",new,,,2026-06-19T01:18:58.000000Z,2026-06-19T01:18:58.000000Z
879,"Silky Screens",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:59.000000Z,2026-06-19T01:18:59.000000Z
880,MerchUnlimited,merchunlimitedllc.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:59.000000Z,2026-06-19T01:18:59.000000Z
881,"Ad Pro Specialties",www.adpropromo.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:18:59.000000Z,2026-06-19T01:18:59.000000Z
882,"Vivid Prints & More",vividprintsandmore.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:00.000000Z,2026-06-19T01:19:00.000000Z
883,"Embree Sign Company",embreesign.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:00.000000Z,2026-06-19T01:19:00.000000Z
884,"Commercial Graphics Print And Design",commercialgraphicsofmi.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:01.000000Z,2026-06-19T01:19:01.000000Z
885,"JS Designs LLC",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:02.000000Z,2026-06-19T01:19:02.000000Z
886,"Springfield Printing Inc",springfieldprintingink.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:02.000000Z,2026-06-19T01:19:02.000000Z
887,"Think Green Promos",thinkgreenpromos.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:03.000000Z,2026-06-19T01:19:03.000000Z
888,"Seth Signs",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:03.000000Z,2026-06-19T01:19:03.000000Z
889,"Qito Sportswear",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:04.000000Z,2026-06-19T01:19:04.000000Z
890,"Hi-Tech Ad Specialties Inc",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:04.000000Z,2026-06-19T01:19:04.000000Z
891,"The Copy Shoppe",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:04.000000Z,2026-06-19T01:19:04.000000Z
892,"Image360 Lynchburg",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:05.000000Z,2026-06-19T01:19:05.000000Z
893,"Mr. Signs",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:05.000000Z,2026-06-19T01:19:05.000000Z
894,"Stafford Graphics Inc",,,Graphics,53,Blacklisted,"click.com - Retention",new,,,2026-06-19T01:19:06.000000Z,2026-06-19T01:19:06.000000Z
895,"Print Force One LLC",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:06.000000Z,2026-06-19T01:19:06.000000Z
896,"I MAGIN GRAPHICS",imagingraphics.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:06.000000Z,2026-06-19T01:19:06.000000Z
897,"Ameri Form Printing & Graphic Design Inc",ameri-form.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:07.000000Z,2026-06-19T01:19:07.000000Z
898,"K And S Promo",kandspromo.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:07.000000Z,2026-06-19T01:19:07.000000Z
899,"Perfect Performance",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:08.000000Z,2026-06-19T01:19:08.000000Z
900,"Stitch N Swag",stitchnswag.com,,Graphics,53,Blacklisted,"click.com - Retention",new,,,2026-06-19T01:19:08.000000Z,2026-06-19T01:19:08.000000Z
901,"Arkansas Sign & Barricade",asbtrafficcontrol.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:08.000000Z,2026-06-19T01:19:08.000000Z
902,"Rite Print Inc",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:09.000000Z,2026-06-19T01:19:09.000000Z
903,"Center Stage Floors",,,Graphics,53,Blacklisted,"click.com - Retention",new,,,2026-06-19T01:19:09.000000Z,2026-06-19T01:19:09.000000Z
904,"Tonic Design House",tonicdesignhouse.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:09.000000Z,2026-06-19T01:19:09.000000Z
905,"Deans Graphics",deansgraphics.com,,Graphics,53,Blacklisted,"click.com - Retention",new,,,2026-06-19T01:19:10.000000Z,2026-06-19T01:19:10.000000Z
906,"B&B Screen Printing",bbscreenprint.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:10.000000Z,2026-06-19T01:19:10.000000Z
907,"Infinite Graphic Resources Inc",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:10.000000Z,2026-06-19T01:19:10.000000Z
908,"Art Sign Co",artsignga.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:10.000000Z,2026-06-19T01:19:10.000000Z
909,"Simple Wolf, LLC",simplewolfmedia.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:11.000000Z,2026-06-19T01:19:11.000000Z
910,"A Mark T Shirts",amarktshirts.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:12.000000Z,2026-06-19T01:19:12.000000Z
911,"Trifecta Ink",promoplace.com/trifectaink/,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:12.000000Z,2026-06-19T01:19:12.000000Z
912,"FUSE Printing",fusepromos.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:13.000000Z,2026-06-19T01:19:13.000000Z
913,"Khalsa Marketing Inc",,,Graphics,53,Blacklisted,"click.com - Retention",new,,,2026-06-19T01:19:13.000000Z,2026-06-19T01:19:13.000000Z
914,"Comp Solutions LLC",compsolutionsllc.net,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:14.000000Z,2026-06-19T01:19:14.000000Z
915,"The Shirt Shark",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:14.000000Z,2026-06-19T01:19:14.000000Z
916,"Image360 Palm Harbor Creative",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:15.000000Z,2026-06-19T01:19:15.000000Z
917,"SEBLY PROMO",sebly.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:15.000000Z,2026-06-19T01:19:15.000000Z
918,"Signsmiths Of Texas",signsmithsoftx.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:16.000000Z,2026-06-19T01:19:16.000000Z
919,"Z2 Bags",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:16.000000Z,2026-06-19T01:19:16.000000Z
920,"Pin High Inc",pinhighinc.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:17.000000Z,2026-06-19T01:19:17.000000Z
921,"Ryan Huff",qualified-apparel.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:17.000000Z,2026-06-19T01:19:17.000000Z
922,"Garcia Wraps",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:18.000000Z,2026-06-19T01:19:18.000000Z
923,"Bay Northwest",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:18.000000Z,2026-06-19T01:19:18.000000Z
924,"Moore Enterprise Inc",www.mooreenterpriseinc.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:19.000000Z,2026-06-19T01:19:19.000000Z
925,"WPP LLC",wpp-promo.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:19.000000Z,2026-06-19T01:19:19.000000Z
926,"Hartmann Taylor Wealth Management",www.hartmanntaylor.com,,Graphics,53,Blacklisted,"click.com - Retention",new,,,2026-06-19T01:19:20.000000Z,2026-06-19T01:19:20.000000Z
927,"Zoppa Studio LLC",zoppastudio.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:20.000000Z,2026-06-19T01:19:20.000000Z
928,"Coons Trim Company",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:20.000000Z,2026-06-19T01:19:20.000000Z
929,"K & R Crafts",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:21.000000Z,2026-06-19T01:19:21.000000Z
930,"4110 Media",www.4110media.com,,Graphics,53,Blacklisted,"click.com - Retention",new,,,2026-06-19T01:19:21.000000Z,2026-06-19T01:19:21.000000Z
931,"Ad Cetera Inc",adceterapromos.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:22.000000Z,2026-06-19T01:19:22.000000Z
932,"Expressions To Wear",etw2000.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:23.000000Z,2026-06-19T01:19:23.000000Z
933,"A To Z Sign Company",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:23.000000Z,2026-06-19T01:19:23.000000Z
934,"WS Apparel",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:24.000000Z,2026-06-19T01:19:24.000000Z
935,"Embroidery Collie",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:24.000000Z,2026-06-19T01:19:24.000000Z
936,"Fastsigns Longview Texas",www.fastsigns.com/379,,Graphics,53,Blacklisted,"click.com - Retention",new,,,2026-06-19T01:19:25.000000Z,2026-06-19T01:19:25.000000Z
937,Ellaprint,ellaprint.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:25.000000Z,2026-06-19T01:19:25.000000Z
938,"Oakmead Printing Inc.",oakmead.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:25.000000Z,2026-06-19T01:19:25.000000Z
939,"Ten Three Consulting Group",tenthreeconsulting.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:26.000000Z,2026-06-19T01:19:26.000000Z
940,"Image360 Tacomacentral",image360.com/tacoma-wa-central/,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:26.000000Z,2026-06-19T01:19:26.000000Z
941,"Image360 Katy",image360.com/katy-tx/,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:27.000000Z,2026-06-19T01:19:27.000000Z
942,"TSW SCREENING PRINTING AND EMBROIDERY-Michael",tswsp.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:27.000000Z,2026-06-19T01:19:27.000000Z
943,"K & J SPEEDY PRINT",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:28.000000Z,2026-06-19T01:19:28.000000Z
944,"Monarch Direct LLC",monarch-direct.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:28.000000Z,2026-06-19T01:19:28.000000Z
945,"Jon Geele Personal",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:29.000000Z,2026-06-19T01:19:29.000000Z
946,"J.P. Murray & Company",jpmurrayonline.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:29.000000Z,2026-06-19T01:19:29.000000Z
947,"Ken Walters Promotions & Products",,,Graphics,53,Blacklisted,"click.com - Retention",new,,,2026-06-19T01:19:30.000000Z,2026-06-19T01:19:30.000000Z
948,"Regal Printingcompany",regalprint.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:30.000000Z,2026-06-19T01:19:30.000000Z
949,"MH Specialties",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:31.000000Z,2026-06-19T01:19:31.000000Z
950,"ARCHBELL SIGNS",archbellsigns.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:31.000000Z,2026-06-19T01:19:31.000000Z
951,"Alan Industries Online",alanindustriesonline.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:32.000000Z,2026-06-19T01:19:32.000000Z
952,"Claremont Print",claremontprint.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:32.000000Z,2026-06-19T01:19:32.000000Z
953,"Mater Signa LLC",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:33.000000Z,2026-06-19T01:19:33.000000Z
954,"Wyo Print",wyo-print.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:34.000000Z,2026-06-19T01:19:34.000000Z
955,"Ye Olde Sign Shoppe",yeoldsignshoppe.net,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:34.000000Z,2026-06-19T01:19:34.000000Z
956,"Pro Level",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:34.000000Z,2026-06-19T01:19:34.000000Z
957,"Cozzzy Up Too LLC",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:35.000000Z,2026-06-19T01:19:35.000000Z
958,"Graphic Takeover",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:35.000000Z,2026-06-19T01:19:35.000000Z
959,"Horizon Print Solutions",www.printefficiency.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:35.000000Z,2026-06-19T01:19:35.000000Z
960,"Huntford Incorporated",huntford.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:36.000000Z,2026-06-19T01:19:36.000000Z
961,"K & K Signs Company",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:36.000000Z,2026-06-19T01:19:36.000000Z
962,"Hall Marketing & Design",hallmarketingdesign.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:36.000000Z,2026-06-19T01:19:36.000000Z
963,"ABR Print",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:37.000000Z,2026-06-19T01:19:37.000000Z
964,Dct,dctintle.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:37.000000Z,2026-06-19T01:19:37.000000Z
965,"Winning Edge Graphics Inc",winningedgegraphics.com,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:37.000000Z,2026-06-19T01:19:37.000000Z
966,"Paradise Apparel And Design",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:37.000000Z,2026-06-19T01:19:37.000000Z
967,"ABC Graphics",,,Graphics,53,,"click.com - Retention",new,,,2026-06-19T01:19:38.000000Z,2026-06-19T01:19:38.000000Z
968,"Tee Kitchen Custom Apparel",,,Graphics,53,Blacklisted,"click.com - Retention",new,,,2026-06-19T01:19:39.000000Z,2026-06-19T01:19:39.000000Z
